"DISTRICT","ROUTE","COUNTY","Postmile Prefix","POSTMILE","DESCRIPTION","BACK PEAK HR","BACK PEAK MONTH","BACK AADT","AHEAD PEAK HR","AHEAD PEAK MONTH","AHEAD AADT",
12,1,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,1,"ORA","R",0.13,"SERRA JUNCTION, JCT. RTE. 5                                                                                   ","      ","       ","       ",3650,46000,41000,
12,1,"ORA","R",0.78,"DOHENY BEACH,   DOHENY PARK ROAD                                                                              ",3650,46000,41000,4600,59000,52000,
12,1,"ORA","R",1.15,"MILEPOST EQUATION    =1.01                                                                                    ",,,,,,,
12,1,"ORA"," ",1.15,"DOHENY BEACH, DEL OBISPO STR  DANA POINT DRIVE                                                                ",4600,59000,52000,3650,46500,41500,
12,1,"ORA"," ",4.32,"DANA POINT,   CROWN VALLEY PARKWAY                                                                            ",3550,44500,40000,3400,42500,38500,
12,1,"ORA"," ",8.43,"LAGUNA BEACH, MOUNTAIN ROAD                                                                                   ",4000,49000,45000,3300,41500,38000,
12,1,"ORA"," ",9.42,"LAGUNA BEACH,   JCT. RTE. 133 NORTH                                                                           ",3300,41500,38000,3250,40500,37500,
12,1,"ORA"," ",9.6,"LAGUNA BEACH, CLIFF DRIVE/   ASTER STREET                                                                     ",3250,40500,37500,3600,45000,42000,
12,1,"ORA"," ",11.5,"LAGUNA BEACH,   NORTH CITY LIMITS                                                                             ",2900,37000,34500,2850,36500,34500,
12,1,"ORA"," ",16.25,"NEWPORT BEACH, JCT. RTE. 73 NORTH                                                                             ",4500,58000,55000,3250,41500,39000,
12,1,"ORA"," ",17.43,"NEWPORT BEACH, JAMBOREE ROAD                                                                                  ",3850,48500,46000,5000,63000,59000,
12,1,"ORA","R",18.08,"NEWPORT BEACH, BAYSIDE DRIVE                                                                                  ",5000,63000,59000,5600,69000,65000,
12,1,"ORA","R",18.45,"NEWPORT BEACH, DOVER DRIVE                                                                                    ",5600,69000,65000,4750,58000,55000,
12,1,"ORA","R",18.54,"MILEPOST EQUATION   =18.83                                                                                    ",,,,,,,
12,1,"ORA"," ",19.8,"NEWPORT BEACH, JCT. RTE.   55, NEWPORT BOULEVARD                                                              ",4750,58000,55000,3050,37000,35000,
12,1,"ORA"," ",20.37,"NEWPORT BEACH, BALBOA   BOULEVARD/SUPERIOR AVENUE                                                             ",3050,37000,35000,3500,42500,40000,
12,1,"ORA"," ",21.55,"SANTA ANA RIVER BRIDGE                                                                                        ",3500,42500,40000,3450,41500,39000,
12,1,"ORA"," ",22.09,"HUNTINGTON BEACH,   BROOKHURST STREET                                                                         ",3450,41500,39000,3050,36500,34000,
12,1,"ORA"," ",23.74,"HUNTINGTON BEACH, JCT. RTE.   39 NORTH, BEACH BOULEVARD                                                       ",3050,36500,34000,2700,32000,30000,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",2850,33000,31000,2850,33000,31000,
12,1,"ORA"," ",29.89,"SUNSET BEACH, WARNER AVENUE                                                                                   ",2850,33000,31000,3550,41500,39000,
12,1,"ORA"," ",32.72,"SEAL BEACH,   SEAL BEACH BOULEVARD                                                                            ",3700,43500,41000,4150,42000,38500,
12,1,"ORA"," ",33.72,"ORANGE-LOS ANGELES COUNTY   LINE (SEAL BEACH,  NORTH CITY LIMITS)                                             ",4150,42000,38500,"      ","       ","       ",
7,1," LA"," ",0,"ORANGE-LOS ANGELES COUNTY   LINE (LONG BEACH,  SOUTH CITY LIMITS)                                             ","      ","       ","       ",4150,42000,38500,
7,1," LA"," ",1.86,"LONG BEACH,   BELLFLOWER BOULEVARD                                                                            ",3600,35500,34000,2600,26000,25000,
7,1," LA"," ",1.97,"LONG BEACH, JCT. RTE. 22,   SEVENTH STREET                                                                    ",2600,26000,25000,3650,37000,35500,
7,1," LA"," ",2.75,"LONG BEACH, ANAHEIM STREET                                                                                    ",3650,37000,35500,2600,27000,26000,
7,1," LA"," ",3.56,"LONG BEACH, JCT. RTE. 19,   LAKEWOOD BOULEVARD                                                                ",3350,35500,34000,3500,37500,36000,
7,1," LA"," ",5.01,"LONG BEACH, CHERRY AVENUE                                                                                     ",3500,38000,36500,3200,35000,34000,
7,1," LA"," ",6.26,"LONG BEACH,   LONG BEACH BOULEVARD                                                                            ",3350,37500,36500,3600,40000,39000,
7,1," LA"," ",7.29,"LONG BEACH, JCT. RTE. 710,   LONG BEACH FREEWAY                                                               ",3350,38000,37000,3500,40500,39500,
7,1," LA"," ",8.27,"LONG BEACH, JCT. RTE. 103   TERMINAL ISLAND FREEWAY                                                           ",2550,30000,29000,2750,30000,29000,
7,1," LA"," ",9.25,"WILMINGTON, ALAMEDA STREET                                                                                    ",2750,30000,29000,2650,32000,31500,
7,1," LA"," ",10.53,"WILMINGTON, AVALON BOULEVARD                                                                                  ",2450,30000,29500,2900,36000,35500,
7,1," LA"," ",11.61,"WILMINGTON, JCT. RTE. 110,   HARBOR FREEWAY                                                                   ",2600,33000,32500,4000,51000,47500,
7,1," LA"," ",12.17,"WILMINGTON, VERMONT AVENUE                                                                                    ",4000,51000,47500,3100,41000,40000,
7,1," LA"," ",12.52,"WILMINGTON, NORMANDIE AVENUE                                                                                  ",3100,41000,40000,3550,46500,45500,
7,1," LA"," ",13.1,"WILMINGTON, JCT. RTE. 213;   WESTERN AVENUE                                                                   ",3100,40500,39500,3750,48500,47000,
7,1," LA"," ",14.63,"TORRANCE, CRENSHAW BOULEVARD                                                                                  ",3650,47000,45500,3050,38500,37500,
7,1," LA"," ",16.01,"TORRANCE, JCT. RTE. 107,   HAWTHORNE BOULEVARD                                                                ",3050,38500,37000,3300,41500,40000,
7,1," LA"," ",18.09,"TORRANCE,   PALOS VERDES BOULEVARD                                                                            ",3050,37500,36000,2200,27500,26500,
7,1," LA"," ",19.52,"REDONDO BEACH,   TORRANCE BOULEVARD                                                                           ",3050,36500,35000,3700,44000,42000,
7,1," LA"," ",21.29,"HERMOSA BEACH, PIER AVENUE/   14TH STREET                                                                     ",5500,63000,60000,4000,46000,44000,
7,1," LA"," ",21.92,"MANHATTAN BEACH, JCT. RTE.   91, ARTESIA BOULEVARD                                                            ",4100,50000,48000,4650,52000,50000,
