"DISTRICT","ROUTE","COUNTY","Postmile Prefix","POSTMILE","DESCRIPTION","BACK PEAK HR","BACK PEAK MONTH","BACK AADT","AHEAD PEAK HR","AHEAD PEAK MONTH","AHEAD AADT",
12,1,"ORA"," ","       ","ORANGE COUNTY                                                                                                 ","      ","       ","       ","      ","       ","       ",
12,1,"ORA","R",0.13,"DANA POINT, JCT. RTE. 5                                                                                       ","      ","       ","       ",2750,39000,36000,
12,1,"ORA","R",0.78,"DANA POINT, DOHENY PARK ROAD                                                                                  ",2750,39000,36000,3550,50000,46000,
12,1,"ORA"," ",1.15,"DANA POINT, DEL OBISPO STREE  DANA POINT DRIVE                                                                ",3550,50000,46000,3100,43500,40000,
12,1,"ORA"," ",4.32,"DANA POINT, CROWN VALLEY PARKWAY                                                                              ",3100,43500,40000,3450,49000,45000,
12,1,"ORA"," ",8.43,"LAGUNA BEACH, MOUNTAIN ROAD                                                                                   ",3250,46000,43000,3400,48000,45000,
12,1,"ORA"," ",9.42,"LAGUNA BEACH,   JCT. RTE. 133 NORTH                                                                           ",3400,48000,45000,3750,54000,50000,
12,1,"ORA"," ",9.6,"LAGUNA BEACH, CLIFF DRIVE/   ASTER STREET                                                                     ",3750,54000,50000,3150,45000,42000,
12,1,"ORA"," ",11.5,"LAGUNA BEACH NORTH CITY LIMITS                                                                                ",3150,45000,42000,2750,39500,36000,
12,1,"ORA"," ",16.25,"NEWPORT BEACH, JCT. RTE. 73 NORTH                                                                             ",3650,53000,48000,3650,53000,48000,
12,1,"ORA"," ",17.43,"NEWPORT BEACH, JAMBOREE ROAD                                                                                  ",3400,49500,45000,4500,65000,59000,
12,1,"ORA","R",18.07,"NEWPORT BEACH, BAYSIDE DRIVE                                                                                  ",4500,65000,59000,5300,77000,70000,
12,1,"ORA","R",18.45,"NEWPORT BEACH, DOVER DRIVE                                                                                    ",5300,77000,70000,4350,62000,57000,
12,1,"ORA"," ",19.8,"NEWPORT BEACH, JCT. RTE. 55,  NEWPORT AVENUE                                                                  ",4350,62000,57000,3500,42500,40000,
12,1,"ORA"," ",20.37,"NEWPORT BEACH, BALBOA   BOULEVARD/SUPERIOR AVENUE                                                             ",3500,42500,40000,4050,49000,46000,
12,1,"ORA"," ",21.55,"SANTA ANA RIVER BRIDGE                                                                                        ",4050,49000,46000,4000,48000,45000,
12,1,"ORA"," ",22.09,"HUNTINGTON BEACH,   BROOKHURST STREET                                                                         ",4000,48000,45000,4100,42500,40000,
12,1,"ORA"," ",23.74,"HUNTINGTON BEACH, JCT. RTE.   39 NORTH, BEACH BOULEVARD                                                       ",4100,42500,40000,3800,39500,37000,
12,1,"ORA"," ",25.89,"HUNTINGTON BEACH,   GOLDENWEST STREET                                                                         ",4150,43000,40000,3750,38500,36000,
12,1,"ORA"," ",29.89,"WARNER AVENUE                                                                                                 ",3750,38500,36000,3950,40500,38000,
12,1,"ORA"," ",32.72,"SEAL BEACH, SEAL BEACH BOULEVARD                                                                              ",3950,40500,38000,3300,42500,40000,
