"Date","Time","Station Type","Maintenance Indicator","Sky Conditions","Visibility","Weather Type","Dry Bulb Temp (F)","Dew Point Temp. (F)","Wet Bulb Temp (F)","% Rel Humidity","Wind Speed (KT)","Wind Dir.","Wind Char. Gusts (KT)","Val. For Wind Char.","Station Pressure","Pressure Tendency","Sea Level Pressure","Report Type","Precipitation total"
"1","56","AO20","-","VV001","1/4SM","FG","33.10001953125","33.10001953125","33.10001953125","100","3","100","-","0","30.12001953125","1","209","AA","-"
"1","156","AO20","-","VV001","M1/4SM","FG","33.10001953125","33.10001953125","33.10001953125","100","5","110","-","0","30.11001953125","-","205","AA","-"
"1","256","AO20","-","VV001","M1/4SM","FG","35.10001953125","35.10001953125","35.10001953125","100","3","120","-","0","30.12001953125","-","208","AA","-"
"1","348","AO20","-","VV002","M1/4SM","FG","-","-","-","-","0","0","-","0","-","-","-","SP","-"
"1","356","AO20","-","OVC002","M1/4SM","FG","34","34","34","100","0","0","-","0","30.12001953125","3","210","AA","-"
"1","456","AO20","-","VV001","M1/4SM","FG","34","34","34","100","4","70","-","0","30.13001953125","-","212","AA","-"
"1","556","AO20","-","VV001","M1/4SM","FG","36","36","36","100","4","350","-","0","30.16001953125","-","224","AA","-"
"1","656","AO20","-","VV001","M1/4SM","FG","36","36","36","100","4","160","-","0","30.16001953125","0","221","AA","-"
"1","756","AO20","-","VV001","M1/4SM","FG","36","36","36","100","7","230","-","0","30.16001953125","-","222","AA","-"
"1","856","AO20","-","VV001","M1/4SM","FG","37","37","37","100","5","270","-","0","30.17001953125","-","224","AA","-"
"1","956","AO20","-","VV001","M1/4SM","FG","37","37","37","100","3","280","-","0","30.20001953125","3","237","AA","-"
"1","1056","AO21","-","VV001","M1/4SM","FG","41","41","41","100","5","60","-","0","30.21001953125","-","239","AA","-"
"1","1156","AO21","-","VV001","M1/4SM","FG","42.1000390625","42.1000390625","42.1000390625","100","4","VRB","-","0","30.18001953125","-","230","AA","-"
"1","1256","AO21","-","BKN001","3/4SM","BR","45","45","45","100","4","150","-","0","30.16001953125","8","221","AA","-"
"1","1356","AO21","-","BKN001","3/4SM","BR","46.9000390625","46.9000390625","46.9000390625","100","5","260","-","0","30.15001953125","-","218","AA","-"
"1","1425","AO21","-","BKN001","1 1/2SM","BR","-","-","-","-","5","220","-","0","-","-","-","SP","-"
"1","1456","AO21","-","BKN001","1 3/4SM","HZ","51.1000390625","45","48","80","5","270","-","0","30.14001953125","-","215","AA","-"
"1","1503","AO21","-","CLR","1 3/4SM","HZ","-","-","-","-","5","260","-","0","-","-","-","SP","-"
"1","1531","AO21","-","CLR","2SM","HZ","-","-","-","-","5","250","-","0","-","-","-","SP","-"
"1","1556","AO21","-","CLR","2SM","HZ","51.1000390625","44.1000390625","47.7000390625","77","4","260","-","0","30.14001953125","5","217","AA","-"
"1","1647","1","-","CLR","1 3/4SM","HZ","-","-","-","-","3","280","-","0","-","-","-","SP","-"
"1","1656","AO21","-","CLR","1 3/4SM","HZ","48","43","45.7000390625","83","0","0","-","0","30.16001953125","-","221","AA","-"
"1","1719","AO21","-","CLR","2 1/2SM","HZ","-","-","-","-","3","350","-","0","-","-","-","SP","-"
